System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
5uaCOUDTY1qKmSVTOzvc,Makhzanul Mufredat,Hkm. Md. Kabiruddin,2nd (Second) Prof.,Single Drugs (Mufradat),360,450,10,9788190000000,,,,,,,,,
lgEa4NTQrMSyMv7rHpv4,Maktobate Urdu ka Adabi,Khawaja Ahmad Farooqi,,Undefined,154.4,193,10,TEMP-9790000001558,,,,,,,,,
ZI1CA2lvlowmujCdL1Ab,Maloomat Nabz Wa Qaroora,Hkm. Imamuddin Zakai,2nd (Second) Prof.,Bed Side Clinic (Sareeriyat),64,80,10,TEMP-9790000001565,,,,,,,,,
zpQiK9cOgn9bp4JY9C0T,Mamulate Matab,Mirza Abdul Noor Baig,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001572,,,,,,,,,
y3pK9rzTRwfmix13kUVF,Maraj-ul-Bahrain,Dr. Syed Abdul Hameed,Masters or P.G.,Undefined,1200,1500,10,9789390000000,,,,,,,,,
qqJIa4e7euwXSUTrwQg3,Mardana Bimari Unka Mujarrab Ilaj,Hkm. Tajuddin,General,Undefined,48,60,10,TEMP-9790000001589,,,,,,,,,
Qb4kQ4P5oVsjHWNOKiN4,Mardana Bimariya Aur Unka Ilaj,Hkm. Majeed Ahmed Narvi,General,Undefined,80,100,10,TEMP-9790000001596,,,,,,,,,
xNyjAVkONswdScskfsGs,Masiyahe Tibb,Hkm. Bakir Khan,Reference Books,Undefined,0,0,10,TEMP-9790000001602,,,,,,,,,
hvIx1Icq0Tes9YB0vGsH,Matab Amli,Hkm. Mohd Ahmad Khan,Masters or P.G.,Undefined,240,300,10,TEMP-9790000001619,,,,,,,,,
ObuE1eVx0PnEsZaFyaCZ,Matab Hameed,Hkm. S. Shujauddin Hamdani,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001626,,,,,,,,,
5OlkLWKJDQ2WJXE1wT2L,Matab Nuskha Navesi,Hkm. Abdul Mannan,Masters or P.G.,Undefined,0,0,10,9788190000000,,,,,,,,,
enq8sfB7zafx1cMbCgzp,Matab ul Lateef,Hkm. Kamaluddin Hamdani,Masters or P.G.,Undefined,0,0,10,TEMP-9790000001633,,,,,,,,,
